Date time (UTC),Geographic longitude (deg),Geographic latitude (deg),Geomagnetic latitude (deg),Magnetic local time,Solar zenith angle (deg),"Colours, naked eye","Colours, camera",Special forms
2024-05-09 22:30:00+00:00,6.1,52.5,48.7,23.4,108.5,"green,blue,purple/pink/magenta","green,blue,purple/pink/magenta",
2024-05-10 21:25:00+00:00,4.8,51.6,47.7,22.3,104.7,purple/pink/magenta,"red,green,blue,purple/pink/magenta",
2024-05-09 22:41:00+00:00,7.0,53.0,49.3,23.6,108.6,"red,blue,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-10 22:30:00+00:00,6.7,52.9,49.2,23.4,108.0,"green,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-10 20:30:00+00:00,7.0,52.6,48.9,21.5,99.6,"red,purple/pink/magenta","red,green,purple/pink/magenta",
2024-05-10 22:10:00+00:00,4.4,52.2,48.4,23.0,107.3,"red,green,blue,purple/pink/magenta","red,green,blue,purple/pink/magenta",STEVE
2024-05-10 20:30:00+00:00,5.1,51.3,47.3,21.4,99.7,purple/pink/magenta,"green,purple/pink/magenta",
2024-05-11 22:49:00+00:00,4.7,52.3,48.5,23.6,108.7,purple/pink/magenta,purple/pink/magenta,
2024-05-10 20:30:00+00:00,5.3,52.7,49.0,21.4,98.8,"green,purple/pink/magenta","green,blue,purple/pink/magenta",
2024-05-10 20:30:00+00:00,6.2,52.1,48.3,21.4,99.6,purple/pink/magenta,"red,green,blue,purple/pink/magenta",
2024-05-11 23:22:00+00:00,6.7,53.4,49.8,0.3,108.4,,"red,purple/pink/magenta",
2024-05-10 22:15:00+00:00,5.0,52.1,48.3,23.1,107.8,"green,purple/pink/magenta","red,green,purple/pink/magenta",
2024-05-10 21:49:00+00:00,4.2,51.8,48.0,22.6,106.2,purple/pink/magenta,"red,green,blue,purple/pink/magenta",
2024-05-11 23:56:00+00:00,6.6,52.6,48.8,0.8,109.0,"red,green,blue,purple/pink/magenta","red,green,blue,purple/pink/magenta",
